	[October 24 2018, 04:31:23]	
Start here.
	October 24 2018, 04:31:23

	[October 24 2018, 04:32:00]	Now 95 iteration, used friends.get method, success on the 1 try, spent 0.19150042533874512 second(-s).
	[October 24 2018, 04:32:00]	Now 96 iteration, used users.get method, success on the 1 try, spent 0.18051648139953613 second(-s).
	[October 24 2018, 04:32:01]	Now 97 iteration, used friends.getMutual method, success on the 1 try, spent 0.28326845169067383 second(-s).
	[October 24 2018, 04:32:01]	Now 98 iteration, used wall.get method, success on the 1 try, spent 0.7896378040313721 second(-s).
	[October 24 2018, 04:32:02]	Now 99 iteration, used users.get method, success on the 1 try, spent 0.2465071678161621 second(-s).
	[October 24 2018, 04:32:02]	Now 100 iteration, used friends.get method, success on the 1 try, spent 0.1386721134185791 second(-s).
	[October 24 2018, 04:32:02]	Now, it`s the end. Elapsed time 38.68430757522583.
October 24 2018, 04:32:02
	[October 24 2018, 04:32:02]	
Start here.
	October 24 2018, 04:32:02


	[October 24 2018, 04:32:02]	Now 1 iteration, used photos.getAlbums method, success on the 1 try, spent 0.1526036262512207 second(-s).
	[October 24 2018, 04:32:02]	Now 2 iteration, used friends.get method, success on the 1 try, spent 0.40491628646850586 second(-s).
	[October 24 2018, 04:32:03]	Now 3 iteration, used wall.get method, success on the 1 try, spent 0.7705883979797363 second(-s).
	[October 24 2018, 04:32:04]	Now 4 iteration, used users.get method, success on the 1 try, spent 0.8828592300415039 second(-s).
	[October 24 2018, 04:32:05]	Now 5 iteration, used photos.getAlbums method, success on the 1 try, spent 0.49340271949768066 second(-s).
	[October 24 2018, 04:32:05]	Now 6 iteration, used friends.getMutual method, success on the 1 try, spent 0.4727954864501953 second(-s).
	[October 24 2018, 04:32:06]	Now 7 iteration, used friends.getMutual method, success on the 1 try, spent 0.47525715827941895 second(-s).
	[October 24 2018, 04:32:06]	Now 8 iteration, used wall.get method, success on the 1 try, spent 0.35401248931884766 second(-s).
	[October 24 2018, 04:32:06]	Now 9 iteration, used photos.getAlbums method, success on the 1 try, spent 0.1656639575958252 second(-s).
	[October 24 2018, 04:32:06]	Now 10 iteration, used photos.getAlbums method, success on the 1 try, spent 0.2932891845703125 second(-s).
	[October 24 2018, 04:32:07]	Now 11 iteration, used photos.getAlbums method, success on the 1 try, spent 0.3961358070373535 second(-s).
	[October 24 2018, 04:32:08]	Now 12 iteration, used wall.get method, success on the 1 try, spent 0.695171594619751 second(-s).
	[October 24 2018, 04:32:08]	Now 13 iteration, used wall.get method, success on the 1 try, spent 0.38718724250793457 second(-s).
	[October 24 2018, 04:32:08]	Now 14 iteration, used friends.get method, success on the 1 try, spent 0.48079681396484375 second(-s).
	[October 24 2018, 04:32:09]	Now 15 iteration, used users.get method, success on the 1 try, spent 0.3477592468261719 second(-s).
	[October 24 2018, 04:32:09]	Now 16 iteration, used friends.get method, success on the 1 try, spent 0.14162135124206543 second(-s).
	[October 24 2018, 04:32:09]	Now 17 iteration, used users.get method, success on the 1 try, spent 0.32368946075439453 second(-s).
	[October 24 2018, 04:32:09]	Now 18 iteration, used friends.getMutual method, success on the 1 try, spent 0.21040701866149902 second(-s).
	[October 24 2018, 04:32:11]	Now 19 iteration, used wall.get method, success on the 1 try, spent 1.28999662399292 second(-s).
	[October 24 2018, 04:32:12]	Now 20 iteration, used friends.getMutual method, success on the 1 try, spent 0.7616474628448486 second(-s).
	[October 24 2018, 04:32:13]	Now 21 iteration, used friends.get method, success on the 1 try, spent 1.0073795318603516 second(-s).
	[October 24 2018, 04:32:14]	Now 22 iteration, used friends.get method, success on the 1 try, spent 0.9231617450714111 second(-s).
	[October 24 2018, 04:32:15]	Now 23 iteration, used photos.getAlbums method, success on the 1 try, spent 1.0822687149047852 second(-s).
	[October 24 2018, 04:32:15]	Now 24 iteration, used friends.get method, success on the 1 try, spent 0.2413311004638672 second(-s).
	[October 24 2018, 04:32:16]	Now 25 iteration, used friends.get method, success on the 1 try, spent 1.1382927894592285 second(-s).
	[October 24 2018, 04:32:18]	Now 26 iteration, used friends.get method, success on the 1 try, spent 1.987889289855957 second(-s).
	[October 24 2018, 04:32:20]	Now 27 iteration, used users.get method, success on the 1 try, spent 1.612177848815918 second(-s).
	[October 24 2018, 04:32:22]	Now 28 iteration, used wall.get method, success on the 1 try, spent 2.8204429149627686 second(-s).
	[October 24 2018, 04:32:23]	Now 29 iteration, used friends.getMutual method, success on the 1 try, spent 0.2849431037902832 second(-s).
	[October 24 2018, 04:32:23]	Now 30 iteration, used friends.getMutual method, success on the 1 try, spent 0.5311572551727295 second(-s).
	[October 24 2018, 04:32:24]	Now 31 iteration, used photos.getAlbums method, success on the 1 try, spent 0.3472404479980469 second(-s).
	[October 24 2018, 04:32:25]	Now 32 iteration, used friends.getMutual method, success on the 1 try, spent 1.148590087890625 second(-s).
	[October 24 2018, 04:32:26]	Now 33 iteration, used friends.getMutual method, success on the 1 try, spent 0.849247932434082 second(-s).
	[October 24 2018, 04:32:28]	Now 34 iteration, used users.get method, success on the 1 try, spent 2.2188241481781006 second(-s).
	[October 24 2018, 04:32:30]	Now 35 iteration, used wall.get method, success on the 1 try, spent 2.164851188659668 second(-s).
	[October 24 2018, 04:32:32]	Now 36 iteration, used photos.getAlbums method, success on the 1 try, spent 1.9108500480651855 second(-s).
	[October 24 2018, 04:32:32]	Now 37 iteration, used wall.get method, success on the 1 try, spent 0.29486966133117676 second(-s).
	[October 24 2018, 04:32:32]	Now 38 iteration, used users.get method, success on the 1 try, spent 0.1523735523223877 second(-s).
	[October 24 2018, 04:32:33]	Now 39 iteration, used friends.getMutual method, success on the 1 try, spent 0.16147685050964355 second(-s).
